CDSCode,District,SchoolName,PL1_Pct,PL2_Pct,PL3_Pct,PL4_Pct
27659790000000,Bradley Union Elementary,,0,23.1,23.1,53.8
27659790135111,Bradley Union Elementary,Uplift Monterey,NA,NA,NA,NA
27659790136010,Bradley Union Elementary,Uplift California South Charter,100,NA,NA,NA
27659790136218,Bradley Union Elementary,Uplift California North Charter,NA,NA,NA,NA
27659796026017,Bradley Union Elementary,Bradley Elementary,NA,23.1,23.1,53.8
27660350000000,Greenfield Union Elementary,,27.2,31.7,29.5,11.5
27660356026116,Greenfield Union Elementary,Mary Chapa Academy,24.5,29.1,33.2,13.2
27660356089387,Greenfield Union Elementary,Oak Avenue Elementary,24.4,32.5,29.9,13.2
27660356111637,Greenfield Union Elementary,Cesar Chavez Elementary,27.5,31.7,28.8,12
27660356111645,Greenfield Union Elementary,Vista Verde Middle,34.9,34.9,24.1,6.1
27660500000000,King City Union,,10.3,23.2,41.8,24.7
27660500107292,King City Union,King City Arts Magnet,10.5,30.3,38.3,20.9
27660500131326,King City Union,Phoenix Academy Community Day,NA,NA,NA,NA
27660506026124,King City Union,Chalone Peaks Middle,15.4,26.4,40.5,17.6
27660506026132,King City Union,Santa Lucia Elementary,6.5,17.6,45.7,30.2
27660506106777,King City Union,Del Rey Elementary,11.1,22.4,41,25.5
27661670000000,San Antonio Union Elementary,,37.9,31,20.7,10.3
27661676026629,San Antonio Union Elementary,San Antonio Elementary,37.9,31,20.7,10.3
27661750000000,San Ardo Union Elementary,,24.3,39.2,25.7,10.8
27661756026637,San Ardo Union Elementary,San Ardo Elementary,24.3,39.2,25.7,10.8
27661830000000,San Lucas Union Elementary,,12.5,18.8,25,43.8
27661836026645,San Lucas Union Elementary,San Lucas Elementary,12.5,18.8,25,43.8
